"state","city","name","advo_bool","cloth_bool","job_bool","fin_bool","food_bool","house_bool","health_bool","hyg_bool","legal_bool","mental_bool","sosh_bool","youth_bool","xport_bool","qfco","qyco","lsvo","tflo","tfmpo","tfms","other","address","street","city_norm","state_norm","zip","url","email","phone"
"Alabama","Birmingham","Magic City Acceptance Center",1,0,0,0,0,0,0,0,0,0,1,1,0,"X",,,,,,,"3130 3rd Ave South Birmingham, Alabama 35233","3130 3rd Ave South","Birmingham","AL",35233,"http://magiccityacceptancecenter.org/","Keller@mcac-bao.org","205-407-8157"
"Alabama","Enterprise","Prism Counseling and Community Services",0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,"X",,,"26438 Hwy 134 Suite B Enterprise, AL 36330","26438 Hwy 134 Suite B","Enterprise","AL",36330,"https://www.prisminclusive.org/","enterprise@prismccs.org","334-475-3729"
"Alabama","Florence","Shoals Diversity Center",1,0,0,0,0,0,1,0,0,1,1,0,0,,,"X",,,,,"Florence, Alabama",,"Florence","AL",,"-https://shoals-diversity-center.ueniweb.com/ -https://www.shoalsdiversitycenter.org/","shoalsdiversitycenter@gmail.com","256-284-2708"
"Alabama","Mobile","Prism United",1,0,0,1,0,0,1,0,1,1,1,1,0,,"X",,,,,,"151 S Ann St Mobile, Alabama 36604","151 S Ann St","Mobile","AL",36604,"https://prismunited.org/","info@prismunited.org","251-219-8441"
"Alabama","Montgomery","Montgomery Pride United",1,1,1,0,1,1,1,1,1,1,1,1,0,"X",,,,,,,"635 Madison Ave Montgomery, AL 36104","635 Madison Ave","Montgomery","AL",36104,"https://montgomeryprideunited.org/","montgomeryprideunited8@gmail.com","334-356-2464"
"Alabama","Statewide","Trans Family Support Services: Alabama",1,1,0,0,0,0,1,0,1,1,1,1,0,,,"X",,,,,"Alabama",,,"AL",,"https://transfamilysos.org/alabamachapter/","alabama@TransFamilysos.org","256-344-3883"
"Alaska","Statewide","Alaska AIDS Assistance Anchorage",1,0,0,0,1,1,1,0,0,1,1,0,0,,,,,,,"X","1057 W. Fireweed Ln Suite 102 Anchorage, AK 99503","1057 W. Fireweed Ln Suite 102","Anchorage","AK",99503,"https://www.alaskanaids.org/","rlutz@alaskanaids.org","907-263-2050"
"Alaska","Statewide","Alaska AIDS Assistance Juneau",1,0,0,0,1,1,1,0,0,1,1,0,0,,,,,,,"X","225 Front St Suite 103-A Juneau, AK 99801","225 Front St Suite 103-A","Juneau","AK",99801,"https://www.alaskanaids.org/","rlutz@alaskanaids.org","907-263-2050"
"Alaska","Anchorage","Identity Inc Health Clinic",0,0,0,0,0,0,1,0,1,1,1,1,0,,,,,"X",,,"307 E Northern Lights Blvd Suite 101 Anchorage, AK 99503","307 E Northern Lights Blvd Suite 101","Anchorage","AK",99503,"http://www.identityinc.org/","Health Clinic: frontdesk@identityinc.org Community Center: info@identityinc.org","Health Clinic: 907-865-3247 Community Center: 907-929-4528"
"Alaska","Anchorage","Choosing Our Roots (Youth Center)",1,1,1,0,0,1,0,1,1,1,1,1,1,,"X",,,,,,"3905 Carolina Dr, Anchorage, AK 99517","3905 Carolina Dr","Anchorage","AK",99517,"http://www.choosingourroots.org/","info@choosingourroots.org","907-764-6233"
"Arizona","Bullhead City","Bullhead City Pride Center",1,0,0,0,0,1,0,0,0,0,1,0,0,"X",,,,,,," 1960 Hwy 95 Suite 5 Bullhead City, AZ 86442"," 1960 Hwy 95 Suite 5","Bullhead City","AZ",86442,"https://www.lgbtqawarenessofaz.com/","bhpc@lgbtqawarenessofaz.com","928-715-6985"
"Arizona","Phoenix","One 'N Ten (Youth Center)",1,1,1,0,1,1,1,1,0,1,1,1,0,,"X",,,,,,"1101 N Central Ave Suite 104 Phoenix AZ 85004","1101 N Central Ave Suite 104","Phoenix","AZ",85004,"http://onenten.org/","office@onenten.org","602-400-2601"
"Arizona","Anthem","One 'N Ten",1,0,1,0,0,1,0,0,0,1,1,1,0,,"X",,,,,,"Anthem Way & Gavilan Peak Pkwy Anthem, Arizona, 85086","Anthem Way & Gavilan Peak Pkwy","Anthem","AZ",85086,"http://onenten.org/","sandra@onenten.org","For updates, text @anonenten to 81010"
"Arizona","Chandler","One 'N Ten",1,0,1,0,0,1,0,0,0,1,1,1,0,,"X",,,,,,"Ray Rd & Kyrene Rd Chandler, Arizona, 85226","Ray Rd & Kyrene Rd","Chandler","AZ",85226,"http://onenten.org/","sandra@onenten.org","For updates, text @chonenten to 81010"
